"fips","POP","DENSITY","medianAge","MedianHInc","per_dem","per_gop"
37097,178435,310.75866126,40.4,58198,0.302761157977,0.670952717183
37099,43327,88.207734262,37.5,44028,0.420128860253,0.539102421684
37101,202675,256.15111144,38.1,56842,0.332962757087,0.639622485305
37103,9637,20.444756452,47.2,36892,0.405040682675,0.583647549117
37105,61452,240.9296969,38.2,48873,0.420651645323,0.552155940995
37107,55976,140.26021433,42.2,38387,0.460862745098,0.52368627451
37109,83770,283.15858031,43.2,53318,0.249334583893,0.726330198484
37111,45507,103.43563706,43.6,40913,0.237510865675,0.74229176254
37113,35285,68.436948265,49.8,43597,0.279245500692,0.694220119982
37115,21763,48.403623148,44,42410,0.35555352909,0.614171074229
37117,22671,49.670815856,46.1,39205,0.490550118124,0.495612554843
37119,1093901,2089.3008886,35,64312,0.632820450638,0.334109225393
37121,15000,67.795955085,47.1,44186,0.199421238047,0.783215903372
37123,27271,55.482487794,43.3,42346,0.358808629575,0.617521180889
37125,98682,141.44349912,44.5,57899,0.338206341893,0.634042642316
37127,94016,173.96112445,41.4,48362,0.490885444428,0.493401274972
37129,232274,1208.4852265,38.7,52716,0.4618391164,0.502726762739
37131,19676,36.664998092,49,35499,0.62626780043,0.364306935765
37133,197683,259.44663671,26.2,49491,0.309876454013,0.656419333863
37135,146027,367.33328853,34.7,68211,0.740385819867,0.230151572091
37137,12670,37.652103569,52.1,44947,0.35838747785,0.623892498523
37139,39639,174.7135128,38.2,48279,0.498408394247,0.476420655506
37141,62162,71.344327816,42.9,52989,0.335623522459,0.639664598109
37143,13422,54.308446471,49.6,45915,0.347384382108,0.62820318423
37145,39507,100.69724767,43.2,48811,0.402631715277,0.575869035901
37147,179914,275.78690728,32.2,44315,0.523446284371,0.449644791986
37149,20611,86.714904684,52.4,48834,0.346451552737,0.628368926606
37151,143351,183.23863316,41.5,45006,0.205517566612,0.772710838639
37153,44887,94.75756474,40.5,36091,0.440652740127,0.542125126242
37155,131831,139.16839522,36.4,33679,0.465782937091,0.514371166422
37157,90690,160.33393386,44.5,42490,0.339754435153,0.639604582588
37159,141262,276.18362152,40.2,48667,0.304511874188,0.671993404991
37161,66826,118.1845989,44.7,40347,0.250335976347,0.728867087757
37163,63626,67.279105206,40.3,39068,0.409002262267,0.575746938139
37165,34810,109.07421525,39.4,35617,0.529651458925,0.452011933348
37167,62075,157.10196018,42.3,49590,0.237954568605,0.739805099997
37169,45467,101.25972361,46,46169,0.209404021279,0.765305202416
37171,71948,134.79916233,43.8,41068,0.234911410795,0.742033288065
37173,14245,26.993047093,41.4,36773,0.3654296222,0.594617184888
37175,34215,90.411884368,50.7,46629,0.373853211009,0.598681192661
37177,4131,10.571286433,49.2,35472,0.414705882353,0.569411764706
37179,235908,372.86618788,38,75397,0.328690296923,0.639648248967
37181,44582,176.63366718,40.7,37282,0.615727153122,0.369598218804
37183,1092305,1308.4286468,36,76956,0.583929619916,0.378923161232
37185,19807,46.157364663,47.6,35962,0.658698014423,0.326187888966
37187,11859,34.224141066,45.5,35512,0.570727718724,0.41864268193
37189,55945,179.07064609,31.2,45268,0.485001216587,0.469985053356
37191,123248,222.50266808,37.6,42192,0.431920359666,0.549132947977
37193,68557,90.859321774,44.5,40829,0.213850343665,0.765562183893
37195,81455,221.60151194,40.6,42850,0.519431809113,0.463118133695
37197,37543,112.08801865,44.1,42876,0.180979827089,0.796253602305
37199,17903,57.272703669,47.4,39888,0.324327079935,0.649163947798
38001,2294,2.3227773683,46.1,54875,0.179104477612,0.749585406302
38003,10542,7.0677955738,44.9,57064,0.304016752332,0.600799543118
38005,6962,5.0135271771,30.5,44313,0.434020618557,0.477835051546
38007,919,0.7999373187,40.6,92604,0.097972972973,0.831081081081
38009,6411,3.842549885,45.1,59882,0.213558335758,0.722141402386
38011,3076,2.6473885477,41.4,65063,0.128321085359,0.816845675523
38013,2100,1.9028937372,34.6,74931,0.114451988361,0.852570320078
38015,95273,58.35939455,36.9,69719,0.231791611554,0.693326790972
38017,181516,102.84373308,32.2,62031,0.397058636923,0.504244546804
38019,3829,2.5715899916,49.9,67591,0.241747079736,0.688674454038
38021,4903,4.3332991976,43.1,60918,0.232293423272,0.698145025295
38023,2283,1.8108359919,54,60074,0.204717775906,0.72451558551
38025,4332,2.1568611923,38.8,70500,0.161891768986,0.797180536608
38027,2313,3.6704354123,44,51563,0.290401968827,0.64807219032
38029,3295,2.1825293742,52.6,51029,0.109749872384,0.853496681981
38031,3216,5.060972568,45.6,60613,0.203649205415,0.728075338434
38033,1769,1.7663359398,44.6,56087,0.105095541401,0.841825902335
38035,70770,49.279959984,29.5,51951,0.364444145266,0.549459796035
38037,2374,1.4308526183,51.9,50962,0.137398971345,0.806759735489
38039,2232,3.148909819,50.2,52794,0.238973536488,0.679230152366
38041,2514,2.2204139284,45.1,56761,0.133227597145,0.818398096749
38043,2450,1.8132414916,45.2,57734,0.131811487482,0.814432989691
38045,4062,3.5446841115,48.4,59426,0.236406619385,0.697399527187
38047,1903,1.9168114014,52.6,58144,0.108737864078,0.841747572816
38049,5816,3.1035758452,42.8,62637,0.176404912542,0.740975065128
38051,2585,2.6520086236,53.5,50739,0.163738580464,0.769501054111
38053,13632,4.938267329,30.7,80732,0.151501959077,0.796909011754
38055,9541,4.5210906984,46.1,65648,0.205532078371,0.735113330772
38057,8267,7.928662878,43.9,79890,0.134969325153,0.813978965819
38059,31095,16.143376733,37.7,67584,0.197915996655,0.728050427735
38061,10218,5.5980257884,33.5,70678,0.302070341731,0.636318283861
38063,2869,2.9222556251,52.9,48798,0.316410861865,0.60507674144
38065,1952,2.7016870793,50,68333,0.11876247505,0.825349301397
38067,6947,6.2099108776,47.9,64962,0.220174587779,0.712576786292
38069,4081,4.0070478716,45.8,48802,0.213366336634,0.709405940594
38071,11481,9.6727280796,41.6,57313,0.288424683787,0.616328095056
38073,5237,6.0728913001,46.4,61810,0.360811394044,0.521795425119
